,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
125,0.5994,Tue Oct 03 15:00:20 +0000 2017,0.0,0.505,0.495,Promoting October Cyber Security Awareness Month https://t.co/rkOyUWl6T6,126
126,0.1796,Mon Oct 02 22:30:24 +0000 2017,0.084,0.796,0.119,What was in the ads you shared with Congress? This and more Hard Questions on Russian ads. https://t.co/C1qVNpxnYt,127
127,0.3182,Mon Oct 02 16:03:17 +0000 2017,0.0,0.874,0.126,Today we're explaining more about the steps we’re taking to strengthen our ads policies and enforcement https://t.co/TK6unRECwj,128
128,0.6124,Thu Sep 28 05:31:17 +0000 2017,0.0,0.643,0.357,Introducing a New Feature in India to Help Increase Blood Donations https://t.co/wZ83LSYZkp,129
129,0.0,Fri Sep 22 15:00:32 +0000 2017,0.0,1.0,0.0,Measure Brand Lift Across TV and Facebook https://t.co/uOYabaVdeT,130
130,-0.1027,Thu Sep 21 19:30:24 +0000 2017,0.189,0.811,0.0,Hard Questions: More on Russian Ads https://t.co/KuvMNvI5yc,131
131,0.0,Thu Sep 21 19:30:11 +0000 2017,0.0,1.0,0.0,Facebook to Provide Congress With Ads Linked to Internet Research Agency https://t.co/FeKOslm5fd,132
132,0.0,Fri Sep 15 15:25:20 +0000 2017,0.0,1.0,0.0,Expanding Facebook AI Research to Montreal https://t.co/vJI9Oo8eEv,133
133,0.0,Fri Sep 15 04:14:24 +0000 2017,0.0,1.0,0.0,Updates to our ad targeting https://t.co/baqi4hKSft,134
134,-0.6249,Thu Sep 14 13:00:28 +0000 2017,0.369,0.631,0.0,A New Center for Crisis Response on Facebook https://t.co/iQN8uw0FTk,135
135,-0.6705,Thu Sep 07 16:00:13 +0000 2017,0.529,0.471,0.0,World Suicide Prevention Day https://t.co/wsDPrdXlgt,136
136,0.0,Wed Sep 06 20:00:39 +0000 2017,0.0,1.0,0.0,An Update On Information Operations On Facebook https://t.co/KHT8VEBLEU,137
137,-0.1027,Mon Aug 28 15:01:30 +0000 2017,0.203,0.625,0.172,Blocking Ads from Pages that Repeatedly Share False News https://t.co/PhJTNSDSvC,138
138,0.743,Fri Aug 25 13:06:28 +0000 2017,0.0,0.559,0.441,Facebook Announces New Ways to Enjoy Memories with Friends https://t.co/rc237qf8Su,139
139,-0.6486,Fri Aug 18 16:00:35 +0000 2017,0.325,0.675,0.0,Hard Questions: What Should Happen to People’s Online Identity When They Die? https://t.co/xYW6kiYqee,140
140,0.368,Thu Aug 17 16:41:53 +0000 2017,0.0,0.76,0.24,News Feed FYI: Taking Action Against Video Clickbait https://t.co/cFT6e31e9L,141
141,0.7425,Wed Aug 16 14:01:02 +0000 2017,0.0,0.589,0.411,Celebrating a Birthday? Now You Can Make It Even More Meaningful https://t.co/DLT1UMBm9j,142
142,0.4215,Tue Aug 15 17:00:52 +0000 2017,0.0,0.781,0.219,Making News Feed an Easier Place to Connect and Navigate https://t.co/NQOQB9UWlF,143
143,0.0,Mon Aug 14 17:01:02 +0000 2017,0.0,1.0,0.0,Marketplace Expanding to Europe https://t.co/SyofswgdLx,144
144,0.0,Wed Aug 09 22:46:25 +0000 2017,0.0,1.0,0.0,"Introducing Watch, a new platform for shows on Facebook https://t.co/hdh5UQgge3",145
145,0.368,Wed Aug 09 15:00:18 +0000 2017,0.0,0.813,0.187,News Feed FYI: Addressing Cloaking So People See More Authentic Posts https://t.co/nBhOXv9YOO,146
146,0.2263,Tue Aug 08 15:04:19 +0000 2017,0.0,0.759,0.241,Updates to Clicks and Impression Reporting https://t.co/I0xxE4ZxTK,147
147,0.0,Wed Aug 02 16:00:24 +0000 2017,0.0,1.0,0.0,"Facebook Diversity Update: Building a More Diverse, Inclusive Workforce https://t.co/nfnLvRuqML",148
