Date,Open,High,Low,Close,Adj Close,Volume
11/16/2016,20.9,21.200001,20.5,21.200001,21.200001,512300
11/17/2016,21.35,22.6,21.15,22.25,22.25,819800
11/18/2016,22.25,22.5,21.9,22.200001,22.200001,264400
11/21/2016,22.549999,22.75,22.35,22.5,22.5,249400
11/22/2016,22.700001,22.950001,22.25,22.5,22.5,217400
11/23/2016,22.450001,22.700001,22,22.6,22.6,182700
11/25/2016,22.549999,22.6,22,22.1,22.1,83200
11/28/2016,22,22.200001,21.75,22.1,22.1,198800
11/29/2016,22.15,22.65,21.9,22.299999,22.299999,212900
11/30/2016,22.200001,22.200001,21.299999,21.6,21.6,503200
12/1/2016,21.549999,21.549999,19.799999,20.1,20.1,857900
12/2/2016,20.15,20.35,19.5,19.700001,19.700001,255600
12/5/2016,21.5,21.6,20.450001,20.6,20.6,571100
12/6/2016,20.75,20.950001,20.35,20.85,20.85,418400
12/7/2016,20.799999,20.85,20.200001,20.4,20.4,215800
12/8/2016,20.35,21.049999,20.35,20.950001,20.950001,326700
12/9/2016,20.9,21.299999,20.700001,20.700001,20.700001,158400
12/12/2016,20.65,20.924999,19.650999,20.65,20.65,166200
12/13/2016,20.6,21.049999,20.25,20.5,20.5,181400
12/14/2016,20.35,21.145,20,20.299999,20.299999,202100
12/15/2016,20.4,20.549999,19.950001,20.049999,20.049999,275600
12/16/2016,20.1,20.5,20.1,20.450001,20.450001,515900
12/19/2016,20.6,20.674999,20.000999,20.25,20.25,181700
12/20/2016,20.35,21,20,20.700001,20.700001,252900
12/21/2016,21.35,22.4,20.549999,22.1,22.1,630300
12/22/2016,22.1,22.1,21.525,21.75,21.75,250900
12/23/2016,21.75,21.950001,21.35,21.5,21.5,185700
12/27/2016,21.6,22,21.6,21.950001,21.950001,120600
12/28/2016,21.85,21.950001,21.5,21.549999,21.549999,329500
12/29/2016,21.6,21.917999,21.4,21.65,21.65,140400
12/30/2016,21.700001,21.700001,21.049999,21.299999,21.299999,268300
1/3/2017,21.5,21.9,21.200001,21.65,21.65,299300
1/4/2017,21.65,23.549999,21.6,23.299999,23.299999,690500
1/5/2017,23.799999,24.4,23.549999,24.1,24.1,722700
1/6/2017,24.200001,25,24.124001,24.700001,24.700001,515700
1/9/2017,24.700001,25.700001,24.65,25.65,25.65,394700
1/10/2017,25.700001,26.6,25.5,26.4,26.4,379600
1/11/2017,26.549999,26.6,25.35,25.85,25.85,449100
1/12/2017,25.85,26,24.549999,24.75,24.75,443900
1/13/2017,24.75,25.450001,24.75,24.85,24.85,253500
1/17/2017,24.65,25.200001,24.5,24.6,24.6,310900
1/18/2017,24.65,25.25,24.5,24.549999,24.549999,289100
1/19/2017,24.6,24.950001,24.35,24.65,24.65,177900
1/20/2017,24.75,25.25,24.549999,25.15,25.15,166300
1/23/2017,25.25,25.65,25.15,25.450001,25.450001,310400
1/24/2017,25.5,25.674999,25.1,25.549999,25.549999,219400
1/25/2017,25.65,26.049999,25.549999,25.799999,25.799999,344600
1/26/2017,25.9,25.9,24.950001,25.15,25.15,143600
1/27/2017,25.15,25.35,24.993,25.25,25.25,125800
1/30/2017,25.15,25.15,24.549999,24.6,24.6,202800
1/31/2017,24.5,24.75,24.15,24.35,24.35,152100
2/1/2017,24.450001,24.799999,24.35,24.65,24.65,139200
2/2/2017,24.549999,24.950001,24.299999,24.5,24.5,96200
2/3/2017,24.700001,25.049999,24.35,24.75,24.75,284600
2/6/2017,24.9,24.950001,24.15,24.525,24.525,196200
2/7/2017,24.6,24.799999,24.25,24.6,24.6,181700
2/8/2017,24.6,25.25,24.450001,25.15,25.15,393000
2/9/2017,23.9,25.9,23.65,24.4,24.4,1025100
2/10/2017,24.5,24.5,23.549999,24.35,24.35,409700
2/13/2017,24.4,25.75,24.35,25.200001,25.200001,303300
2/14/2017,25.35,25.812,24.555,24.700001,24.700001,183700
2/15/2017,24.6,25.049999,24.4,24.950001,24.950001,196400
2/16/2017,23.950001,24.9,23.799999,24.4,24.4,272000
2/17/2017,24.4,25,24.35,24.799999,24.799999,113600
2/21/2017,24.9,25.15,24.700001,25.15,25.15,119400
2/22/2017,25.15,25.9,25,25.75,25.75,141900
2/23/2017,25.85,25.85,24.927,25.549999,25.549999,297400
2/24/2017,25.549999,26.5,25.299999,25.950001,25.950001,285900
2/27/2017,25.799999,27.200001,25.65,27.049999,27.049999,537900
2/28/2017,26.950001,27.4,26.275,26.549999,26.549999,412300
3/1/2017,27,27,25.799999,26.35,26.35,384400
3/2/2017,26.549999,26.85,26.1,26.65,26.65,284600
3/3/2017,26.5,27.35,26.5,27.299999,27.299999,200600
3/6/2017,27.25,27.41,26.6,26.65,26.65,217200
3/7/2017,26.5,26.85,26.1,26.25,26.25,325500
3/8/2017,26.4,26.549999,26.1,26.15,26.15,181300
3/9/2017,26.049999,26.6,26,26.299999,26.299999,125200
3/10/2017,26.299999,26.549999,26.09,26.25,26.25,189400
3/13/2017,26.15,26.885,26.15,26.6,26.6,329300
3/14/2017,26.549999,26.754999,26.15,26.200001,26.200001,170800
3/15/2017,26.299999,27.299999,26.299999,27.25,27.25,440400
3/16/2017,27.299999,28.049999,27.1,27.799999,27.799999,499200
3/17/2017,27.799999,28.15,27.549999,27.6,27.6,487200
3/20/2017,27.6,27.950001,27.15,27.85,27.85,205000
3/21/2017,28,28.25,27.275,27.5,27.5,377300
3/22/2017,27.5,27.65,26.75,27,27,282800
3/23/2017,26.950001,27.35,26.75,26.950001,26.950001,116500
3/24/2017,27.200001,27.9,27.15,27.200001,27.200001,144900
3/27/2017,26.85,27.424999,26,27.35,27.35,153200
3/28/2017,27.450001,28,27.4,27.549999,27.549999,126600
3/29/2017,27.75,27.9,27.049999,27.85,27.85,342500
3/30/2017,27.799999,28.1,26.85,27.549999,27.549999,390100
3/31/2017,27.5,27.700001,27.4,27.450001,27.450001,150400
4/3/2017,27.549999,27.75,26.700001,27.65,27.65,291400
4/4/2017,27.5,27.799999,26.4,26.5,26.5,319000
4/5/2017,26.65,27.1,26.299999,26.35,26.35,198400
4/6/2017,26.299999,26.6,26.200001,26.6,26.6,167100
4/7/2017,26.65,26.9,26.049999,26.6,26.6,178000
4/10/2017,26.65,26.950001,26.25,26.35,26.35,104000
4/11/2017,26.299999,26.85,26.223,26.799999,26.799999,384500
4/12/2017,26.85,27.35,26.65,26.65,26.65,301100
4/13/2017,26.65,27.049999,26.4,26.65,26.65,216900
4/17/2017,26.799999,27.799999,26.65,27.6,27.6,462100
4/18/2017,27.549999,27.700001,26.85,27.35,27.35,180800
4/19/2017,27.5,27.549999,26.799999,27,27,192100
4/20/2017,27.1,27.4,26.85,27.35,27.35,264300
4/21/2017,27.299999,27.65,27.15,27.4,27.4,176600
4/24/2017,27.65,28.299999,27.35,27.950001,27.950001,278200
4/25/2017,28.1,28.357,27.9,28.1,28.1,182200
4/26/2017,28.1,28.25,27.85,28,28,159100
4/27/2017,28.15,28.75,28.049999,28.200001,28.200001,265000
4/28/2017,28.200001,28.450001,28,28.35,28.35,311400
5/1/2017,28.4,29.299999,28.200001,29.1,29.1,370600
5/2/2017,29,29.65,29,29.5,29.5,396600
5/3/2017,29.450001,29.75,28.549999,28.6,28.6,489000
5/4/2017,28.65,28.799999,28.299999,28.5,28.5,442800
5/5/2017,25.25,26.5,23.549999,25.85,25.85,2704300
5/8/2017,25.85,26.15,24.825001,25.15,25.15,641400
5/9/2017,25.15,25.725,24.950001,25.35,25.35,419300
5/10/2017,25.450001,26.35,25.35,25.4,25.4,488000
5/11/2017,25.4,26.15,25.200001,26.049999,26.049999,579000
5/12/2017,26.049999,27.1,25.9,26.549999,26.549999,447800
5/15/2017,26.65,27.299999,26.6,27.299999,27.299999,311600
5/16/2017,27.35,27.950001,27.299999,27.799999,27.799999,839500
5/17/2017,27.549999,27.700001,26.950001,27.15,27.15,729300
5/18/2017,27,27.450001,26.6,27.35,27.35,408500
5/19/2017,27.549999,28.25,27.35,28.200001,28.200001,512100
5/22/2017,28.25,28.290001,27.85,28.200001,28.200001,440300
5/23/2017,27.450001,27.950001,27,27.85,27.85,560700
5/24/2017,27.9,28.35,27.700001,27.950001,27.950001,422800
5/25/2017,28.200001,28.549999,27.4,28,28,3204800
5/26/2017,28,28.4,27.875,28.4,28.4,481600
5/30/2017,28.4,28.525,27.700001,27.9,27.9,464200
5/31/2017,28,28.299999,27.924999,28.049999,28.049999,678100
