,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
106,0.0,Tue May 01 22:12:01 +0000 2018,0.0,1.0,0.0,"@scottiek Depending on your geographical location, your autopays should all run prior to the batch at midnight toni… https://t.co/coVz2VMX1q",107
107,-0.2617,Tue May 01 21:51:06 +0000 2018,0.145,0.855,0.0,"@scottiek No, you won't need to manually run them. They're currently delayed in running but will still run automati… https://t.co/or1UBRubTD",108
108,-0.2228,Tue May 01 19:36:03 +0000 2018,0.086,0.914,0.0,"@JessClay1983 Hi Jessica, We are very sorry you are being inconvenienced in this way! Our team has managed to resol… https://t.co/yzD1WC56n3",109
109,0.5423,Tue May 01 18:47:57 +0000 2018,0.0,0.816,0.184,@jlprice_7 We are working to diagnose the root cause of the issue and restore systems as soon as possible. Please b… https://t.co/IaF42Vq7oe,110
110,0.6249,Tue May 01 18:05:26 +0000 2018,0.0,0.697,0.303,@SpiraPilates We appreciate you taking the time to reach out. Please check out our status page… https://t.co/nh5HxB3nVr,111
111,0.6114,Tue May 01 17:57:35 +0000 2018,0.0,0.706,0.294,"@sarahesultan Hi Sarah, Thanks for reaching out! We have responded to you via DM.",112
112,0.0,Tue May 01 17:52:23 +0000 2018,0.0,1.0,0.0,"@SpiraPilates Hello, We are aware of issues related to making purchases in our mobile apps. In the mean time, clien… https://t.co/n2T80hmpIR",113
113,0.5994,Tue May 01 17:51:19 +0000 2018,0.0,0.776,0.224,"@mollys_music Hi Molly, thank you for taking your time to express your concerns. We certainly understand any diffic… https://t.co/KZSCeOW8ZJ",114
114,-0.3612,Tue May 01 17:04:11 +0000 2018,0.122,0.878,0.0,"@jlprice_7 Hi Jessica, We understand the inconvenience. Our team is working diligently to get the software back to… https://t.co/lalgaNJ9ZL",115
115,-0.128,Tue May 01 17:00:59 +0000 2018,0.133,0.758,0.109,We're experiencing degraded performance related to the retail option on our apps and appointment screen. Please try… https://t.co/b9hC1DMpkt,116
116,0.807,Tue May 01 16:42:21 +0000 2018,0.0,0.552,0.448,@amarinswierdsma Anytime! We hope you have a great rest of your week.,117
117,0.0,Tue May 01 16:21:46 +0000 2018,0.0,1.0,0.0,"@amarinswierdsma Hi Amarins, It turns out this is due to some issues we're experiencing in our software related to… https://t.co/mEZ6yR5liv",118
118,0.7777,Tue May 01 16:19:30 +0000 2018,0.0,0.737,0.263,"@sallybelievecle Hello Sally, we'd love to assist!  Could you please DM us which of our Mobile Apps you are having… https://t.co/DcE7yhoR9G",119
119,0.885,Tue May 01 15:39:35 +0000 2018,0.0,0.599,0.401,"@amarinswierdsma Yes, that is very helpful. Thank you! It looks like you're using the MINDBODY app. At what point i… https://t.co/d09ttWBFPu",120
120,0.4389,Tue May 01 15:29:59 +0000 2018,0.063,0.781,0.156,"@amarinswierdsma Hi Amarins, Thanks for contacting us! Sorry you're having these issues. Which app are you experien… https://t.co/6qzxWnmJzx",121
121,0.3182,Tue May 01 15:03:57 +0000 2018,0.0,0.839,0.161,@CanadianFitDad Please check out our Status page for the most up-to-date info: https://t.co/HRyBUFVGFE,122
122,0.5719,Tue May 01 15:03:42 +0000 2018,0.0,0.783,0.217,"@CanadianFitDad Hi Scott, Thanks for reaching out. We aren't having any issues with autopays that aren't typical fo… https://t.co/QnUhgtIFfG",123
123,-0.0772,Tue May 01 14:48:37 +0000 2018,0.126,0.762,0.112,"@eguertin Hi Liz, thank you for contacting MINDBODY®. At this time we are experiencing a degraded performance of th… https://t.co/uAoNDULRKK",124
124,0.7003,Tue May 01 13:38:09 +0000 2018,0.0,0.702,0.298,"@samantha_aviles Hello Samantha,

Thank you for Reaching out.  We would like to look into this a bit deeper.  Would… https://t.co/AIpLBoP2mT",125
125,0.6597,Tue May 01 00:26:27 +0000 2018,0.0,0.722,0.278,"Today is #NationalHonestyDay, take the day to get honest with yourself, and your fitness goals
https://t.co/kcvGTnf1LE",126
126,0.7901,Sun Apr 29 21:19:55 +0000 2018,0.0,0.693,0.307,"@voxkev Thank you, Kevin. We will reach out to you as soon as we hear back from them. Have a great day!",127
127,0.5106,Sun Apr 29 21:07:32 +0000 2018,0.0,0.815,0.185,"@voxkev Hello Kevin and thank you for reaching out. We will contact the studio on your behalf, as normally Clients… https://t.co/QEotrf2Xei",128
128,0.0,Fri Apr 27 19:37:04 +0000 2018,0.0,1.0,0.0,"Adding photos on the MINDBODY app? Here's 5 tips for taking professional photos of your business:
https://t.co/WD883V65QL",129
129,0.8439,Fri Apr 27 19:21:11 +0000 2018,0.0,0.687,0.313,"@_BrookieB_ We hope you enjoy the app. Should you have any questions, our team is standing by to help you out! Simp… https://t.co/2cuhfbjX5F",130
130,0.4926,Fri Apr 27 19:11:22 +0000 2018,0.0,0.868,0.132,@_BrookieB_ Thanks so much for your feedback! Have you checked out the MINDBODY app? It allows you to connect all t… https://t.co/41tZEll0Il,131
131,0.2732,Fri Apr 27 15:02:34 +0000 2018,0.0,0.909,0.091,RT @ACSMNews: Trying to build your fitness brand? @mindbodyonline offers 4 tips that you can put into practice right away on the #ACSMCerti…,132
132,0.0772,Fri Apr 27 02:09:53 +0000 2018,0.0,0.936,0.064,50 million: the number of class and appointment sessions booked through the #MINDBODY App in 2017. Here's why listi… https://t.co/A68Gexgze7,133
133,0.5081,Fri Apr 27 00:50:06 +0000 2018,0.0,0.838,0.162,@RebexCaroline We really appreciate your feedback! There are a few different channels to book from so clients then… https://t.co/sYRjdeQnFC,134
134,0.7184,Thu Apr 26 16:32:11 +0000 2018,0.0,0.72,0.28,@Jakemichaelku Hello and thank you for reaching out. We appreciate your feedback and will be forwarding it to our d… https://t.co/CFa8AFwrDg,135
135,0.5719,Thu Apr 26 01:22:34 +0000 2018,0.0,0.81,0.19,"@Kristen_Jenks Hi Kristen, 
Thanks for reaching out. The few times we have seen this, it was due to the update not… https://t.co/DhRa38RIj1",136
136,0.6486,Wed Apr 25 00:08:40 +0000 2018,0.0,0.782,0.218,@LaraAlexandra We do have an option where you can control what you share with your friends from the MINDBODY® app.… https://t.co/gBn91LogQR,137
137,0.3612,Tue Apr 24 23:58:49 +0000 2018,0.0,0.889,0.111,"@LaraAlexandra Hi Lara, 
Thank you for your feedback.  When it comes to some of our clients, HIPPA compliance is a… https://t.co/eKSOfUSCfY",138
138,0.7269,Tue Apr 24 23:55:56 +0000 2018,0.071,0.616,0.313,Ever feel like you need to be offline? @goodhealth has a great 10-Step digital detox guide https://t.co/qEc4gdAEMD,139
139,0.4019,Tue Apr 24 16:33:40 +0000 2018,0.156,0.584,0.261,@chibryan We're sorry to hear you've had some trouble finding our support number. It's available in the Help button… https://t.co/BxxYF1Ts7q,140
140,0.6542,Mon Apr 23 20:40:06 +0000 2018,0.0,0.789,0.211,"We know that working out has various health benefits, but did you know that it might help women ward off dementia?… https://t.co/i2dXxtx7Ml",141
141,0.7906,Sun Apr 22 22:03:39 +0000 2018,0.0,0.704,0.296,"@kennykhlee Hi Kenny. Yes, please DM us your CID along with a specific client example and we will be glad to reply… https://t.co/hoGbp1Y03h",142
142,0.5719,Sun Apr 22 21:51:37 +0000 2018,0.0,0.783,0.217,@kennykhlee Thanks for reaching out Kenny. The following article will guide you in emailing your clients a copy of… https://t.co/GMVZ1hkMwU,143
143,0.8172,Sun Apr 22 19:02:46 +0000 2018,0.119,0.567,0.313,"@bethije Hello Bethan, we are sorry to hear you are having trouble - we'd love to help out! Feel free to DM us a li… https://t.co/bkBaBvJDxy",144
144,0.82,Sun Apr 22 04:18:48 +0000 2018,0.0,0.398,0.602,@CameronEhrlich You're very welcome. Have a wonderful evening!,145
